streams,acousticness,danceability,energy,liveness,speechiness,valence
27889593.00,0.04,0.90,0.82,0.11,0.32,0.75
504839912.00,0.05,0.78,0.79,0.14,0.11,0.71
986056.00,0.00,0.63,0.65,0.12,0.03,0.26
5591973.00,0.02,0.79,0.50,0.10,0.27,0.36
3576811.00,0.18,0.61,0.90,0.17,0.43,0.56
13989777.00,0.36,0.78,0.60,0.16,0.16,0.54
11790060.00,0.08,0.79,0.54,0.23,0.17,0.42
5757650.00,0.34,0.62,0.69,0.09,0.04,0.45
201857111.00,0.03,0.73,0.79,0.11,0.05,0.36
6688219.00,0.06,0.65,0.80,0.33,0.17,0.94
19060887.00,0.02,0.53,0.84,0.25,0.04,0.65
1496970.00,0.05,0.45,0.53,0.38,0.05,0.34
95139270.00,0.65,0.60,0.54,0.16,0.11,0.27
10840391.00,0.56,0.75,0.66,0.13,0.24,0.54
387320003.00,0.56,0.56,0.68,0.12,0.32,0.32
1106955.00,0.05,0.76,0.80,0.72,0.17,0.72
816694.00,0.00,0.62,0.84,0.06,0.03,0.53
7013230.00,0.17,0.62,0.80,0.17,0.38,0.71
25722331.00,0.29,0.38,0.38,0.09,0.05,0.15
523877779.00,0.23,0.68,0.63,0.12,0.07,0.50
65204351.00,0.37,0.86,0.69,0.11,0.17,0.49
3627848.00,0.02,0.83,0.82,0.13,0.07,0.60
217027586.00,0.11,0.80,0.50,0.06,0.07,0.87
29760591.00,0.00,0.91,0.52,0.38,0.18,0.11
1774060.00,0.01,0.82,0.75,0.13,0.39,0.60
3123816.00,0.01,0.64,0.52,0.11,0.03,0.23
11997790.00,0.14,0.60,0.58,0.18,0.26,0.32
9896568.00,0.06,0.80,0.70,0.11,0.04,0.46
145147915.00,0.02,0.67,0.57,0.15,0.03,0.27
33859869.00,0.04,0.84,0.62,0.13,0.08,0.74
1546880.00,0.01,0.59,0.84,0.40,0.03,0.39
55034291.00,0.01,0.92,0.47,0.33,0.12,0.29
1496936.00,0.12,0.84,0.89,0.11,0.14,0.61
753901.00,0.47,0.86,0.55,0.11,0.29,0.44
464151.00,0.00,0.54,0.80,0.33,0.04,0.50
667411.00,0.11,0.82,0.65,0.10,0.23,0.74
3668947.00,0.25,0.84,0.59,0.17,0.14,0.58
4648991.00,0.23,0.59,0.44,0.08,0.05,0.16
30826841.00,0.01,0.49,0.67,0.08,0.37,0.39
76440853.00,0.01,0.71,0.78,0.17,0.27,0.38
916476808.00,0.12,0.59,0.52,0.13,0.07,0.13
726765.00,0.00,0.90,0.45,0.37,0.08,0.31
669517982.00,0.18,0.69,0.77,0.12,0.15,0.16
604682.00,0.81,0.58,0.56,0.09,0.23,0.29
3667155.00,0.28,0.71,0.82,0.14,0.44,0.41
12992565.00,0.23,0.61,0.47,0.10,0.04,0.24
4101860.00,0.25,0.78,0.68,0.08,0.06,0.36
20018000.00,0.04,0.88,0.70,0.20,0.36,0.58
11692125.00,0.46,0.93,0.60,0.05,0.06,0.86
2974099.00,0.01,0.51,0.84,0.35,0.10,0.30
154247411.00,0.23,0.64,0.71,0.05,0.09,0.75
28949634.00,0.26,0.91,0.64,0.08,0.35,0.80
8925563.00,0.02,0.90,0.60,0.08,0.17,0.36
780579.00,0.03,0.54,0.83,0.42,0.08,0.35
101326433.00,0.06,0.91,0.53,0.10,0.13,0.51
23558940.00,0.15,0.80,0.64,0.21,0.19,0.49
476970640.00,0.15,0.75,0.65,0.11,0.32,0.43
3348190.00,0.20,0.58,0.71,0.27,0.03,0.78
183482341.00,0.11,0.80,0.74,0.10,0.07,0.67
14158965.00,0.41,0.82,0.64,0.24,0.08,0.53
719269.00,0.01,0.64,0.72,0.20,0.09,0.23
14837990.00,0.55,0.45,0.50,0.08,0.05,0.50
1629565.00,0.07,0.56,0.88,0.07,0.27,0.39
63677541.00,0.04,0.85,0.79,0.16,0.35,0.72
4424727.00,0.47,0.69,0.39,0.12,0.21,0.32
152412159.00,0.05,0.62,0.65,0.08,0.04,0.40
12725062.00,0.10,0.62,0.73,0.67,0.11,0.46
71427055.00,0.04,0.81,0.52,0.15,0.26,0.38
